selfUrl,id,createdDate,fixVersions,affectedVersions
https://issues.apache.org/jira/rest/api/2/issue/12756976,12756976,2014-11-21,"[4.0.0, 4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12756950,12756950,2014-11-21,"[4.0.0, 4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12756421,12756421,2014-11-19,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12756403,12756403,2014-11-19,[4.4.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12750774,12750774,2014-10-27,"[4.0.0, 4.4.0, 4.3.1]",[]
https://issues.apache.org/jira/rest/api/2/issue/12748859,12748859,2014-10-17,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12747757,12747757,2014-10-13,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12742925,12742925,2014-09-20,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12742159,12742159,2014-09-17,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12741000,12741000,2014-09-12,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12740954,12740954,2014-09-12,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12737489,12737489,2014-08-28,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12737467,12737467,2014-08-28,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12737463,12737463,2014-08-28,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12737457,12737457,2014-08-28,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12730017,12730017,2014-07-26,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12722460,12722460,2014-06-19,[4.4.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12721740,12721740,2014-06-17,[4.3.0],[4.2.2]
https://issues.apache.org/jira/rest/api/2/issue/12718342,12718342,2014-06-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12718196,12718196,2014-06-03,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12718191,12718191,2014-06-03,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12717259,12717259,2014-05-29,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12713184,12713184,2014-05-08,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12712781,12712781,2014-05-07,[4.2.3],[4.2.2]
https://issues.apache.org/jira/rest/api/2/issue/12712780,12712780,2014-05-07,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12711304,12711304,2014-04-29,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12706649,12706649,2014-04-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12706648,12706648,2014-04-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12706647,12706647,2014-04-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12706646,12706646,2014-04-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12706645,12706645,2014-04-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12699371,12699371,2014-03-07,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12698677,12698677,2014-03-04,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12693543,12693543,2014-02-06,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12693517,12693517,2014-02-06,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12693146,12693146,2014-02-04,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12693145,12693145,2014-02-04,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12693143,12693143,2014-02-04,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12693142,12693142,2014-02-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12693140,12693140,2014-02-04,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12692701,12692701,2014-02-02,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12690001,12690001,2014-01-21,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12689953,12689953,2014-01-21,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12686821,12686821,2013-12-31,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12682823,12682823,2013-12-05,"[4.3.0, 4.2.3]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12682336,12682336,2013-12-03,"[4.3.0, 4.2.3]",[4.2.2]
https://issues.apache.org/jira/rest/api/2/issue/12680862,12680862,2013-11-23,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12680857,12680857,2013-11-23,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12678476,12678476,2013-11-10,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12676579,12676579,2013-10-30,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12676291,12676291,2013-10-29,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12674198,12674198,2013-10-16,"[4.0.0, 4.4.0, 4.3.2]",[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12672383,12672383,2013-10-04,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12672296,12672296,2013-10-04,"[4.3.0, 4.2.3]",[4.2.0]
https://issues.apache.org/jira/rest/api/2/issue/12671252,12671252,2013-09-29,[4.3.0],[4.2.0]
https://issues.apache.org/jira/rest/api/2/issue/12668539,12668539,2013-09-13,[4.2.2],[]
https://issues.apache.org/jira/rest/api/2/issue/12668447,12668447,2013-09-13,[4.2.2],[]
https://issues.apache.org/jira/rest/api/2/issue/12668348,12668348,2013-09-12,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12421790,12421790,2009-04-01,[],[]
https://issues.apache.org/jira/rest/api/2/issue/12666907,12666907,2013-09-04,[4.2.2],[]
https://issues.apache.org/jira/rest/api/2/issue/12666486,12666486,2013-09-01,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12665175,12665175,2013-08-23,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12664811,12664811,2013-08-21,"[4.3.0, 4.2.3]",[]
https://issues.apache.org/jira/rest/api/2/issue/12663381,12663381,2013-08-13,[],[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12662526,12662526,2013-08-08,[4.2.2],[]
https://issues.apache.org/jira/rest/api/2/issue/12662079,12662079,2013-08-06,"[4.2.2, 4.3.0]","[4.2.1, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12662046,12662046,2013-08-06,"[4.2.2, 4.3.0]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12660378,12660378,2013-07-29,"[4.2.2, 4.3.0]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12660121,12660121,2013-07-26,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12659572,12659572,2013-07-24,[4.2.2],[4.2.0]
https://issues.apache.org/jira/rest/api/2/issue/12658945,12658945,2013-07-21,[4.3.0],[4.2.0]
https://issues.apache.org/jira/rest/api/2/issue/12658878,12658878,2013-07-20,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12658068,12658068,2013-07-16,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12656558,12656558,2013-07-08,"[4.2.2, 4.3.0]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12656402,12656402,2013-07-05,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12655826,12655826,2013-07-02,[4.3.0],[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12655253,12655253,2013-06-28,[4.3.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12654976,12654976,2013-06-26,"[4.2.2, 4.3.0]","[4.2.1, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12654934,12654934,2013-06-26,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12654694,12654694,2013-06-25,[4.3.0],[4.3.0]
https://issues.apache.org/jira/rest/api/2/issue/12653903,12653903,2013-06-20,"[4.2.2, 4.3.0]","[4.2.1, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12652808,12652808,2013-06-14,"[4.2.2, 4.3.0]","[4.2.1, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12652803,12652803,2013-06-14,[4.2.2],[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12652329,12652329,2013-06-12,"[4.2.2, 4.3.0]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12652319,12652319,2013-06-12,"[4.2.2, 4.3.0]","[4.2.1, 4.3.0]"
https://issues.apache.org/jira/rest/api/2/issue/12651649,12651649,2013-06-07,[4.2.2],[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12651610,12651610,2013-06-07,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12651377,12651377,2013-06-06,"[4.2.2, 4.3.0]",[4.2.1]
https://issues.apache.org/jira/rest/api/2/issue/12650616,12650616,2013-06-03,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12646991,12646991,2013-05-10,[4.3.0],[]
https://issues.apache.org/jira/rest/api/2/issue/12643866,12643866,2013-04-22,"[4.2.2, 4.3.0]","[4.2.0, 4.2.1]"
https://issues.apache.org/jira/rest/api/2/issue/12641399,12641399,2013-04-08,"[4.2.2, 4.3.0]",[]
https://issues.apache.org/jira/rest/api/2/issue/12641289,12641289,2013-04-08,"[4.2.2, 4.3.0]","[4.2.0, 4.2.1]"
https://issues.apache.org/jira/rest/api/2/issue/12641105,12641105,2013-04-05,"[4.3.0, 4.2.3]","[4.2.0, 4.2.1]"
https://issues.apache.org/jira/rest/api/2/issue/12641095,12641095,2013-04-05,"[4.2.2, 4.3.0]","[4.2.0, 4.2.1]"
