Project,Run,Classifier,Sampling,FeatureSelection,ReleaseIndex,Precision,Recall,F-Measure,AUC,Kappa,NPofB20,SelectedFeatures
OPENJPA,1,RandomForest,NoSampling,BestFirst,9,0.7535,0.1102,0.1923,0.7820,0.1555,0.3321,NumStatements;NumLocalVars;NestingDepth;LOC_Added;Global_NAuth;Global_AVG_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,BestFirst,10,0.8251,0.1374,0.2355,0.7700,0.1918,0.3144,LOC;NumStatements;NumLocalVars;NestingDepth;AVG_LOC_Added;Global_NAuth;Global_AVG_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,BestFirst,11,0.8754,0.1607,0.2715,0.7620,0.2235,0.2898,NumStatements;NumLocalVars;NestingDepth;AVG_LOC_Added;Global_NAuth;Global_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,BestFirst,12,0.8406,0.1922,0.3129,0.7627,0.2575,0.3202,LOC;NumStatements;NumLocalVars;AVG_LOC_Added;Global_NAuth;Global_AVG_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,BestFirst,13,0.8307,0.2540,0.3890,0.7550,0.3249,0.3185,LOC;NumStatements;NumLocalVars;ReturnTypeComplexity;AVG_LOC_Added;AVG_LOC_Deleted;Global_NAuth;Global_AVG_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,BestFirst,14,0.8250,0.2111,0.3362,0.7229,0.2777,0.2849,NumStatements;NumLocalVars;AVG_Churn;Global_NAuth;Global_AVG_LOC_Added;Global_AVG_LOC_Deleted
OPENJPA,1,RandomForest,NoSampling,InfoGain,2,1.0000,0.1759,0.2992,0.7791,0.2963,0.5324,LOC;Cyclomatic;CognitiveComplexity;NestingDepth;NumStatements;NumLocalVars;MAX_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_Churn;AVG_Churn;Global_MAX_Churn;MAX_Churn;CodeSmells;Global_AVG_LOC_Deleted;AVG_LOC_Deleted;AVG_LOC_Added;Global_AVG_LOC_Added;Global_Churn;Churn;Global_MAX_LOC_Added;MAX_LOC_Added;Global_LOC_Deleted;LOC_Deleted;LOC_Added;Global_LOC_Added;NAuth;Global_NAuth;Global_NR;NR
OPENJPA,1,RandomForest,NoSampling,InfoGain,3,0.8222,0.1595,0.2671,0.8471,0.2636,0.6767,LOC;CognitiveComplexity;Cyclomatic;NestingDepth;NumStatements;NumLocalVars;Global_AVG_Churn;CodeSmells;Global_Churn;Global_AVG_LOC_Deleted;Global_NR;Global_MAX_Churn;Global_NAuth;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_MAX_LOC_Added;Global_LOC_Added;NR;NAuth;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;AVG_Churn;MAX_Churn;Churn;AVG_LOC_Added;MAX_LOC_Added;LOC_Added;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,4,0.8644,0.1397,0.2406,0.7461,0.2358,0.4959,LOC;NumStatements;Cyclomatic;CognitiveComplexity;NestingDepth;NumLocalVars;LOC_Added;Global_NAuth;MAX_Churn;Churn;NR;AVG_Churn;NAuth;Global_NR;MAX_LOC_Added;Global_AVG_Churn;Global_LOC_Added;AVG_LOC_Added;Global_MAX_Churn;Global_Churn;Global_MAX_LOC_Deleted;Global_AVG_LOC_Added;Global_MAX_LOC_Added;AVG_LOC_Deleted;LOC_Deleted;MAX_LOC_Deleted;Global_LOC_Deleted;Global_AVG_LOC_Deleted;CodeSmells;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,5,0.9429,0.2138,0.3486,0.8923,0.3418,0.7365,LOC;CognitiveComplexity;Cyclomatic;NumStatements;NestingDepth;NumLocalVars;Global_NAuth;Global_LOC_Added;Global_NR;Global_MAX_LOC_Added;Global_Churn;Global_MAX_Churn;Global_AVG_Churn;Global_AVG_LOC_Added;Global_MAX_LOC_Deleted;Global_LOC_Deleted;LOC_Added;NAuth;MAX_Churn;AVG_LOC_Added;MAX_LOC_Added;Churn;NR;AVG_Churn;Global_AVG_LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;LOC_Deleted;CodeSmells;NumParams
