Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.2.1,5,2013-03-27,PubSubProtocol.Map.Entry.Builder.java,PubSubProtocol.Map.Entry.Builder,org.apache.hedwig.protocol.PubSubProtocol.Map.Entry.Builder.buildPartial(),16,10,0,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.PubSubRequest.java,PubSubProtocol.PubSubRequest,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.getSerializedSize(),53,19,0,3,15,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,28,4,1.12,24,1,0.96,52,4,2.08,False
4.2.1,5,2013-03-27,BookieClient.java,BookieClient,"'org.apache.bookkeeper.proto.BookieClient.writeComplete(int, long, long, InetSocketAddress, Object)'",7,3,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionData.Builder.java,PubSubProtocol.SubscriptionData.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionData.Builder.mergeFrom(org.apache.hedwig.protocol.PubSubProtocol.SubscriptionData),12,5,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PerChannelBookieClient.java,PerChannelBookieClient,"'org.apache.bookkeeper.proto.PerChannelBookieClient.exceptionCaught(ChannelHandlerContext, ExceptionEvent)'",28,5,2,3,8,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,19,10,3.8,4,1,0.8,23,11,4.6,True
4.2.1,5,2013-03-27,PubSubProtocol.ResponseBody.Builder.java,PubSubProtocol.ResponseBody.Builder,org.apache.hedwig.protocol.PubSubProtocol.ResponseBody.Builder.mergePublishResponse(org.apache.hedwig.protocol.PubSubProtocol.PublishResponse),14,3,1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,JmsHeader.JmsValue.java,JmsHeader.JmsValue,org.apache.hedwig.jms.message.header.JmsHeader.JmsValue.hasStringValue(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.getStartDeliveryRequestOrBuilder(),7,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionEventResponse.java,PubSubProtocol.SubscriptionEventResponse,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.getEvent(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,4,4,False
4.2.1,5,2013-03-27,HierarchicalLedgerManager.HierarchicalLedgerRangeIterator.java,HierarchicalLedgerManager.HierarchicalLedgerRangeIterator,org.apache.bookkeeper.meta.HierarchicalLedgerManager.HierarchicalLedgerRangeIterator.nextL1Node(),20,3,0,1,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
