Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.1.1,3,2013-01-16,AbstractSubscribeResponseHandler.java,AbstractSubscribeResponseHandler,org.apache.hedwig.client.netty.impl.AbstractSubscribeResponseHandler.getActiveSubscriber(TopicSubscriber),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.MessageHeader.java,PubSubProtocol.MessageHeader,org.apache.hedwig.protocol.PubSubProtocol.MessageHeader.newBuilderForType(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,FilterableMessageHandler.java,FilterableMessageHandler,org.apache.hedwig.client.netty.FilterableMessageHandler.getMessageFilter(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,MetastoreCursor.java,MetastoreCursor,"'org.apache.bookkeeper.metastore.MetastoreCursor.asyncReadEntries(int, ReadEntriesCallback, Object)'",0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HedwigClient.java,HedwigClient,org.apache.hedwig.client.HedwigClient.getPublisher(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,72,72,72,0,0,0,72,72,72,False
4.1.1,3,2013-01-16,BookkeeperPersistenceManager.java,BookkeeperPersistenceManager,org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.persistMessage(PersistRequest),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HedwigClientImpl.java,HedwigClientImpl,org.apache.hedwig.client.netty.HedwigClientImpl.getHChannelManager(),3,1,0,0,1,0,0,1,0,1,1,4,4,4,0,0,0,4,4,4,1,1,4,4,4,0,0,0,4,4,4,True
4.1.1,3,2013-01-16,PubSubProtocol.LedgerRanges.Builder.java,PubSubProtocol.LedgerRanges.Builder,org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges.Builder.internalGetFieldAccessorTable(),3,1,0,0,1,0,0,1,0,1,1,21,21,21,2,2,2,23,23,23,1,1,21,21,21,2,2,2,23,23,23,True
4.1.1,3,2013-01-16,HChannelHandler.java,HChannelHandler,"'org.apache.hedwig.client.netty.impl.HChannelHandler.channelConnected(ChannelHandlerContext, ChannelStateEvent)'",8,1,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.StopDeliveryRequestOrBuilder.java,PubSubProtocol.StopDeliveryRequestOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequestOrBuilder.getSubscriberId(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
