Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionPreferences.java,PubSubProtocol.SubscriptionPreferences,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionPreferences.parseDelimitedFrom(java.io.InputStream),8,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HedwigAdmin.java,HedwigAdmin,"org.apache.hedwig.admin.HedwigAdmin.getSubscription(ByteString, ByteString)",24,5,2,1,3,2,1,1,0,6,1,46,29,17,6,1,46,29,17,False
4.1.1,3,2013-01-16,DistributionSchedule.AckSet.java,DistributionSchedule.AckSet,org.apache.bookkeeper.client.DistributionSchedule.AckSet.removeBookie(int),0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,Bookie.java,Bookie,"org.apache.bookkeeper.bookie.Bookie.accept(File, String)",6,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.PubSubRequest.Builder.java,PubSubProtocol.PubSubRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder.mergeStopDeliveryRequest(org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest),14,3,1,0,3,3,2,1,0,3,1,17,11,6,3,1,17,11,6,True
4.1.1,3,2013-01-16,ActiveSubscriber.java,ActiveSubscriber,org.apache.hedwig.client.netty.impl.ActiveSubscriber.resubscribeIfNecessary(SubscriptionEvent),31,10,1,2,4,3,1,1,0,1,1,1,1,0,1,1,1,1,0,True
4.1.1,3,2013-01-16,RangeScanRequest.java,RangeScanRequest,org.apache.hedwig.server.persistence.RangeScanRequest.getTopic(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,77,77,0,False
4.1.1,3,2013-01-16,PubSubProtocol.Map.Builder.java,PubSubProtocol.Map.Builder,org.apache.hedwig.protocol.PubSubProtocol.Map.Builder.build(),7,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionData.java,PubSubProtocol.SubscriptionData,"org.apache.hedwig.protocol.PubSubProtocol.SubscriptionData.parseDelimitedFrom(java.io.InputStream, com.google.protobuf.ExtensionRegistryLite)",8,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.CloseSubscriptionRequest.java,PubSubProtocol.CloseSubscriptionRequest,org.apache.hedwig.protocol.PubSubProtocol.CloseSubscriptionRequest.newBuilderForType(com.google.protobuf.GeneratedMessage.BuilderParent),4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.PublishResponse.java,PubSubProtocol.PublishResponse,org.apache.hedwig.protocol.PubSubProtocol.PublishResponse.newBuilderForType(com.google.protobuf.GeneratedMessage.BuilderParent),4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,DiskChecker.java,DiskChecker,org.apache.bookkeeper.util.DiskChecker.getDiskSpaceThreshold(),3,1,0,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,True
4.1.1,3,2013-01-16,ActiveSubscriber.java,ActiveSubscriber,org.apache.hedwig.client.netty.impl.ActiveSubscriber.getTopicSubscriber(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
