2026-01-22 23:06:01.235 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java (2280 chars)
2026-01-22 23:06:01.235 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java (1366 chars)
2026-01-22 23:06:01.237 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java (1996 chars)
2026-01-22 23:06:01.238 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java (6333 chars)
2026-01-22 23:06:01.240 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java (14928 chars)
2026-01-22 23:06:01.247 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java (1057 chars)
2026-01-22 23:06:01.248 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java (5061 chars)
2026-01-22 23:06:01.249 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java (38417 chars)
2026-01-22 23:06:01.263 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java (16860 chars)
2026-01-22 23:06:01.268 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java (6527 chars)
2026-01-22 23:06:01.270 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java (2234 chars)
2026-01-22 23:06:01.270 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java (33709 chars)
2026-01-22 23:06:01.283 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java (1439 chars)
2026-01-22 23:06:01.284 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java (10919 chars)
2026-01-22 23:06:01.288 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java (3489 chars)
2026-01-22 23:06:01.289 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java (6773 chars)
2026-01-22 23:06:01.292 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java (1171 chars)
2026-01-22 23:06:01.293 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java (2651 chars)
2026-01-22 23:06:01.294 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java (18847 chars)
2026-01-22 23:06:01.298 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java (5169 chars)
2026-01-22 23:06:01.301 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java (2926 chars)
2026-01-22 23:06:01.302 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java (1909 chars)
2026-01-22 23:06:01.303 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java (2209 chars)
2026-01-22 23:06:01.303 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java (5928 chars)
2026-01-22 23:06:01.306 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java (2537 chars)
2026-01-22 23:06:01.307 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java (1396 chars)
2026-01-22 23:06:01.307 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java (1476 chars)
2026-01-22 23:06:01.307 [main] DEBUG i.f.isw2.metrics.MetricsCalculator - File parsato correttamente ma 0 metodi trovati: hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java
2026-01-22 23:06:01.307 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java (2104 chars)
2026-01-22 23:06:01.308 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java (20804 chars)
2026-01-22 23:06:01.315 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java (2835 chars)
2026-01-22 23:06:01.316 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java (3039 chars)
2026-01-22 23:06:01.317 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java (1897 chars)
2026-01-22 23:06:01.318 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java (2588 chars)
2026-01-22 23:06:01.319 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java (3206 chars)
2026-01-22 23:06:01.319 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java (1261 chars)
2026-01-22 23:06:01.319 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java (4956 chars)
2026-01-22 23:06:01.320 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java (6788 chars)
2026-01-22 23:06:01.323 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java (7278 chars)
2026-01-22 23:06:01.325 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java (8999 chars)
2026-01-22 23:06:01.328 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java (4022 chars)
2026-01-22 23:06:01.329 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java (3167 chars)
2026-01-22 23:06:01.330 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java (21629 chars)
2026-01-22 23:06:01.338 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java (1672 chars)
2026-01-22 23:06:01.339 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java (3534 chars)
2026-01-22 23:06:01.340 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java (2125 chars)
2026-01-22 23:06:01.340 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java (3292 chars)
2026-01-22 23:06:01.341 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/Option.java (1173 chars)
2026-01-22 23:06:01.341 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java (18957 chars)
2026-01-22 23:06:01.350 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java (2187 chars)
2026-01-22 23:06:01.351 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java (3064 chars)
2026-01-22 23:06:01.352 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java (18249 chars)
2026-01-22 23:06:01.356 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java (7289 chars)
2026-01-22 23:06:01.358 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java (8408 chars)
2026-01-22 23:06:01.361 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java (4805 chars)
2026-01-22 23:06:01.363 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java (25859 chars)
2026-01-22 23:06:01.372 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java (7304 chars)
2026-01-22 23:06:01.373 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java (1127 chars)
2026-01-22 23:06:01.373 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java (3466 chars)
2026-01-22 23:06:01.374 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java (1807 chars)
2026-01-22 23:06:01.375 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java (2454 chars)
2026-01-22 23:06:01.375 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java (18815 chars)
2026-01-22 23:06:01.379 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java (6629 chars)
2026-01-22 23:06:01.382 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java (32934 chars)
2026-01-22 23:06:01.390 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java (3222 chars)
2026-01-22 23:06:01.391 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java (4806 chars)
2026-01-22 23:06:01.392 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java (2237 chars)
2026-01-22 23:06:01.392 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java (3827 chars)
2026-01-22 23:06:01.393 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java (10109 chars)
2026-01-22 23:06:01.394 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java (3308 chars)
2026-01-22 23:06:01.394 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java (4648 chars)
